Sno,ConfirmedIndianNational,ConfirmedForeignNational,Cured,Deaths,Confirmed
2076,-,-,4485,168,10054
2077,-,-,7,0,38
2078,-,-,4804,694,11745
2079,-,-,598,14,928
2080,-,-,44,3,90
2081,-,-,609,15,1289
2082,-,-,113,3,223
2083,-,-,530,37,1246
2084,-,-,497,4,630
2085,-,-,41,0,43
2086,-,-,2435,252,5236
2087,-,-,8437,1249,35058
2088,-,-,2,0,7
2089,-,-,11,1,13
2090,-,-,1,0,1
2091,-,-,220,4,876
2092,-,-,9,1,18
2093,-,-,1547,37,1980
2094,-,-,3218,138,5507
2095,-,-,4406,81,11760
2096,-,-,1000,35,1597
2097,-,-,85,0,167
2098,-,-,52,1,93
2099,-,-,2783,118,4605
2100,-,-,1006,244,2825
2101,-,-,33,0,33
2102,-,-,1621,52,2532
2103,-,-,1,0,1
2104,-,-,41,4,142
2105,-,-,534,9,1498
2106,-,-,57,3,200
2107,-,-,59,0,101
2108,-,-,0,0,1
2109,-,-,4750,168,10554
2110,-,-,7,0,46
2111,-,-,5043,719,12140
2112,-,-,627,14,964
2113,-,-,47,3,92
2114,-,-,653,17,1317
2115,-,-,127,3,231
2116,-,-,544,40,1397
2117,-,-,497,4,642
2118,-,-,43,0,43
2119,-,-,2630,258,5465
2120,-,-,9639,1325,37136
2121,-,-,2,0,9
2122,-,-,12,1,13
2123,-,-,1,0,1
2124,-,-,277,5,978
2125,-,-,9,1,18
2126,-,-,1642,38,2002
2127,-,-,3337,143,5845
2128,-,-,4895,84,12448
2129,-,-,1010,38,1634
2130,-,-,116,0,173
2131,-,-,52,1,111
2132,-,-,2918,123,4926
2133,-,-,1074,250,2961
2134,-,-,0,0,1096
2135,-,-,33,0,33
2136,-,-,1640,53,2602
2137,-,-,1,0,1
2138,-,-,48,4,170
2139,-,-,571,10,1674
2140,-,-,57,3,202
2141,-,-,59,0,115
2142,-,-,0,0,1
2143,-,-,5192,176,11088
2144,-,-,7,0,50
2145,-,-,5219,749,12537
2146,-,-,648,14,993
2147,-,-,54,3,110
2148,-,-,678,18,1390
2149,-,-,127,3,231
2150,-,-,556,41,1462
2151,-,-,502,4,666
2152,-,-,43,0,44
2153,-,-,2733,267,5735
2154,-,-,10318,1390,39297
2155,-,-,2,0,25
2156,-,-,12,1,14
2157,-,-,1,0,1
2158,-,-,307,6,1052
2159,-,-,9,0,18
2160,-,-,1794,38,2005
2161,-,-,3404,147,6015
2162,-,-,5882,87,13191
2163,-,-,1015,40,1661
2164,-,-,133,0,173
2165,-,-,53,1,122
2166,-,-,3066,127,5175
2167,-,-,1136,253,3103
2168,-,-,0,0,1403
2169,-,-,33,0,33
2170,-,-,1709,53,2647
2171,-,-,1,0,1
2172,-,-,54,4,203
2173,-,-,593,11,1982
2174,-,-,139,3,217
2175,-,-,59,0,128
2176,-,-,0,0,1
2177,-,-,5567,194,11659
2178,-,-,7,0,52
2179,-,-,5488,773,12905
2180,-,-,681,15,1031
2181,-,-,59,3,152
2182,-,-,684,20,1449
2183,-,-,129,3,290
2184,-,-,571,41,1605
2185,-,-,510,4,690
2186,-,-,43,0,44
2187,-,-,2843,270,5981
2188,-,-,11726,1454,41642
2189,-,-,2,0,25
2190,-,-,12,1,14
2191,-,-,1,0,1
2192,-,-,393,7,1103
2193,-,-,10,0,20
2194,-,-,1819,39,2028
2195,-,-,3485,151,6227
2196,-,-,6282,94,13967
2197,-,-,1035,45,1699
2198,-,-,148,0,173
2199,-,-,54,1,146
2200,-,-,3204,138,5515
2201,-,-,1193,259,3197
2202,-,-,0,0,1620
2203,-,-,33,0,33
2204,-,-,1763,55,2709
2205,-,-,1,0,1
2206,-,-,54,4,259
2207,-,-,629,11,2177
2208,-,-,178,3,218
2209,-,-,62,0,172
2210,-,-,0,0,1
2211,-,-,5897,208,12319
2212,-,-,16,0,54
2213,-,-,5880,802,13268
2214,-,-,706,16,1067
2215,-,-,59,3,168
2216,-,-,720,20,1489
2217,-,-,136,3,308
2218,-,-,597,41,1743
2219,-,-,512,4,732
2220,-,-,43,0,44
2221,-,-,3089,272,6170
2222,-,-,12583,1517,44582
2223,-,-,2,0,26
2224,-,-,12,1,14
2225,-,-,1,0,1
2226,-,-,436,7,1189
2227,-,-,10,0,26
2228,-,-,1847,39,2029
2229,-,-,3680,153,6494
2230,-,-,7128,98,14753
2231,-,-,1043,45,1761
2232,-,-,152,0,175
2233,-,-,56,1,153
2234,-,-,3238,152,5735
2235,-,-,1221,265,3332
2236,-,-,0,0,1899
2237,-,-,33,0,33
2238,-,-,1809,56,2757
2239,-,-,1,0,1
2240,-,-,55,4,329
2241,-,-,653,11,2380
2242,-,-,179,3,225
2243,-,-,64,0,214
2244,-,-,0,0,2
2245,-,-,6267,231,12910
2246,-,-,16,0,55
2247,-,-,6169,829,13664
2248,-,-,750,16,1131
2249,-,-,61,3,185
2250,-,-,774,21,1569
2251,-,-,141,4,350
2252,-,-,608,42,1959
2253,-,-,515,4,795
2254,-,-,43,0,49
2255,-,-,3267,281,6371
2256,-,-,13404,1577,47190
2257,-,-,4,0,29
2258,-,-,12,1,14
2259,-,-,1,0,1
2260,-,-,497,7,1269
2261,-,-,10,0,26
2262,-,-,1870,39,2045
2263,-,-,3786,160,6742
2264,-,-,0,0,1
2265,-,-,7491,103,15512
2266,-,-,1065,49,1813
2267,-,-,153,0,189
2268,-,-,56,2,244
2269,-,-,3406,155,6017
2270,-,-,1281,269,3459
2271,-,-,0,0,2338
2272,-,-,33,0,33
2273,-,-,1856,56,2823
2274,-,-,1,0,1
2275,-,-,55,4,378
2276,-,-,702,13,2587
2277,-,-,186,3,238
2278,-,-,67,0,252
2279,-,-,0,0,2
2280,-,-,6540,261,13418
2281,-,-,19,0,66
2282,-,-,6412,858,14056
2283,-,-,765,16,1184
2284,-,-,63,3,203
2285,-,-,809,21,1621
2286,-,-,148,4,370
2287,-,-,654,42,2089
2288,-,-,521,4,847
2289,-,-,43,0,52
2290,-,-,3408,290,6665
2291,-,-,14600,1635,50231
2292,-,-,4,0,32
2293,-,-,12,1,14
